Bldg Code,Bldg Number,Name,Site,Address,City,State,Zip,Year of Date Built,Year of Date Acquired,Status,Type,Use,Functional Status,General Fund % ,Recharge %,Assignable SF,Gross Sqr Feet (ARC)
1135BRD,213,1135 BROADWAY (1135BRD),MAIN CAMP,1135 BROADWAY,BOULDER,CO,80302,1960,2019,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"13,340","18,408"
122126TH,456,1221 26TH STREET,MAIN CAMP,1221 26TH STREET,BOULDER,CO,80309,,2021,OPEN,BUILDING,RESIDENTIAL,RESEARCH PROPERTY SERVICES,0,100,"2,414","2,754"
1301WA,801,1301 WALNUT ST (1301WA),OFF CAMPUS,1301 WALNUT ST,BOULDER,CO,80302,,2018,OPEN,BUILDING,CLASSROOM/ADMIN,LEASED,0,100,"3,623","4,226"
1506BRD,271,1506 BROADWAY (1506BRD),GRANDVIEW,1506 BROADWAY,BOULDER,CO,80302,,2021,OPEN,BUILDING,OTHER,RESEARCH PROPERTY SERVICES,0,100,"6,535","10,977"
1522BRD,272,1522 BROADWAY (1522BRD),GRANDVIEW,1522 BROADWAY,BOULDER,CO,80302,,2021,OPEN,BUILDING,OTHER,RESEARCH PROPERTY SERVICES,0,100,"1,851","3,491"
2360ARP,198,ROB'S AUTO REPAIR (2360ARP),N BLDR CRK,2360 ARAPAHOE AVENUE,BOULDER,CO,80302,,2022,OPEN,BUILDING,OTHER,GENERAL FUND,100,0,0,0
2390PRL,810,2930 PEARL STREET (2390PRL),OFF CAMPUS,2930 PEARL ST,BOULDER,CO,80301,,2024,OPEN,BUILDING,CLASSROOM/ADMIN,LEASED,0,100,,
2705CLR,465,2705 COLORADO,MAIN CAMP,2705 COLORADO AVE,BOULDER,CO,80309,,2021,OPEN,BUILDING,RESIDENTIAL,RESEARCH PROPERTY SERVICES,0,100,"1,391","1,603"
3100ARP,807,PARK PLACE (3100ARP),OFF CAMPUS,3100 ARAPAHOE AVENUE,BOULDER,CO,80302,,2022,OPEN,BUILDING,RESEARCH/LAB,LEASED,0,100,"13,927","15,022"
5425AIR,804,5425 AIRPORT ROAD (5425AIR),OFF CAMPUS,5425 AIRPORT ROAD,BOULDER,CO,80301,,2019,OPEN,BUILDING,OTHER,LEASED,0,100,"5,776","6,962"
5555CNT,809,5555 CENTRAL AVENUE (5555CNT),OFF CAMPUS,5555 CENTRAL AVE,BOULDER,CO,80301,,2025,OPEN,BUILDING,RESEARCH/LAB,LEASED,0,100,,
721EMRY,808,GUARDIAN STORAGE LONGMONT (721EMRY),OFF CAMPUS,721 S EMERY ST,LONGMONT,CO,80501,,,OPEN,BUILDING,OTHER,LEASED,0,100,820,820
ABSA,037R,ABSAROKA (ABSA),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,108,126
ADEN,339,ADEN HALL (ADEN),MAIN CAMP,2320 LIBBY DR,BOULDER,CO,80309,1947,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"17,518","26,941"
AERO,587,AEROSPACE ENGINEERING SCIENCES (AERO),EAST CAMP,3775 DISCOVERY DRIVE,BOULDER,CO,80309,2018,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,100,"104,790","185,868"
ALMG,249A,ALUMNI CENTER GARAGE ANNEX (ALMG),MAIN CAMP,1202 UNIVERSITY AVE,BOULDER,CO,80309,1884,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,724,"1,200"
ALUM,249,KOENIG ALUMNI CENTER (ALUM),MAIN CAMP,1202 UNIVERSITY AVE,BOULDER,CO,80309,1884,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"6,483","9,781"
ANDS,410,ANDREWS HALL (ANDS),MAIN CAMP,2510 KITTREDGE LOOP RD,BOULDER,CO,80309,1963,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"35,173","61,827"
ARCE,568,ADMINISTRATIVE AND RESEARCH CENTER- EAST CAMPUS (ARCE),EAST CAMP,3100 MARINE ST,BOULDER,CO,80303,1969,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"113,715","186,279"
ARCEA,568A,ADMINISTRATIVE AND RESEARCH CENTER MECHANICAL BUILDING (ARCEA),EAST CAMP,3100 MARINE ST,BOULDER,CO,80303,1969,,OPEN,BUILDING,OTHER,GENERAL FUND,100,0,0,131
ARL,553,ASTROPHYSICAL RESEARCH LABORATORY (ARL),EAST CAMP,1255 38TH ST,BOULDER,CO,80303,1981,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"26,081","34,435"
ARMR,265,ARMORY (ARMR),GRANDVIEW,1511 UNIVERSITY AVE,BOULDER,CO,80309,1915,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"15,472","24,976"
ARNT,412,ARNETT HALL (ARNT),MAIN CAMP,2590 KITTREDGE LOOP RD,BOULDER,CO,80309,1964,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"31,937","61,574"
ASPN,037N,ASPEN (ASPN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,355,506
ATCTA1,144A1,ATHENS COURT A1 (ATCTA1),N BLDR CRK,1930 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"5,448","7,488"
ATCTA2,144A2,ATHENS COURT A2 (ATCTA2),N BLDR CRK,1950 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"5,448","7,488"
ATCTA3,144A3,ATHENS COURT A3 (ATCTA3),N BLDR CRK,1931 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"5,448","7,488"
ATCTA4,144A4,ATHENS COURT A4 (ATCTA4),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"5,448","7,488"
ATCTB1,144B1,ATHENS COURT B1 (ATCTB1),N BLDR CRK,1910 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"6,492","8,923"
ATCTB2,144B2,ATHENS COURT B2 (ATCTB2),N BLDR CRK,2010 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"6,492","8,923"
ATCTB3,144B3,ATHENS COURT B3 (ATCTB3),N BLDR CRK,2050 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"6,492","8,923"
ATCTC1,144C1,ATHENS COURT C1 (ATCTC1),N BLDR CRK,2030 ATHENS ST,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,182","9,836"
ATCTC2,144C2,ATHENS COURT C2 (ATCTC2),N BLDR CRK,2031 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"7,182","10,144"
ATCTM1,144M1,ATHENS COURT MAIL 1 (ATCTM1),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,45,97
ATCTM2,144M2,ATHENS COURT MAIL 2 (ATCTM2),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,45,97
ATCTS1,144S1,ATHENS COURT STORAGE 1 (ATCTS1),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,SHED,RESIDENTIAL,AUXILIARY,0,100,45,97
ATCTS2,144S2,ATHENS COURT STORAGE 2 (ATCTS2),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,SHED,RESIDENTIAL,AUXILIARY,0,100,45,97
ATCTS3,144S3,ATHENS COURT STORAGE 3 (ATCTS3),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,SHED,RESIDENTIAL,AUXILIARY,0,100,45,97
ATCTT1,144T1,ATHENS COURT TELECOM 1 (ATCTT1),N BLDR CRK,1951 GRANDVIEW AVE,BOULDER,CO,80309,1957,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,0,97
ATHN,131,ATHENS NORTH COURT (ATHN),N BLDR CRK,1855 ATHENS ST,BOULDER,CO,80309,1987,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"36,042","52,183"
ATLS,231,ROSER ATLAS CENTER (ATLS),MAIN CAMP,1125 18TH ST,BOULDER,CO,80309,2006,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"38,467","72,739"
BATH,038A,BATH HOUSE (BATH),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,0,656
BCAPB,630B,BEAR CREEK APT B (BCAPB),WILL VILL,3355 APACHE DR,BOULDER,CO,80309,2003,2007,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"132,863","190,886"
BCAT,036G,BOBCAT (BCAT),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,109,127
BESC,363,BENSON EARTH SCIENCES BUILDING (BESC),MAIN CAMP,2200 COLORADO AVE,BOULDER,CO,80309,1997,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"51,636","89,647"
