# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
1135BRD,1135 BROADWAY (1135BRD),18408,3,40.0076709,-105.2751628,,1135 BROADWAY BOULDER CO 80302
122126TH,1221 26TH STREET,2754,3,40.0088094,-105.2616515,8,1221 26TH STREET BOULDER CO 80309
1301WA,1301 WALNUT ST (1301WA),4226,3,40.0174039,-105.2780891,,1301 WALNUT ST BOULDER CO 80302
1506BRD,1506 BROADWAY (1506BRD),10977,3,40.0117061,-105.2771696,,1506 BROADWAY BOULDER CO 80302
1522BRD,1522 BROADWAY (1522BRD),3491,3,40.0119135,-105.2771923,,1522 BROADWAY BOULDER CO 80302
2360ARP,ROB'S AUTO REPAIR (2360ARP),0,3,40.0144441,-105.2638496,8,2360 ARAPAHOE AVENUE BOULDER CO 80302
2390PRL,2930 PEARL STREET (2390PRL),0,1,40.0218615,-105.2549449,8,2930 PEARL ST BOULDER CO 80301
2705CLR,2705 COLORADO,1603,3,40.0085171,-105.2600847,,2705 COLORADO AVE BOULDER CO 80309
3100ARP,PARK PLACE (3100ARP),15022,1,40.0139446,-105.2522906,8,3100 ARAPAHOE AVENUE BOULDER CO 80302
5425AIR,5425 AIRPORT ROAD (5425AIR),6962,3,40.0326046,-105.2346079,8,5425 AIRPORT ROAD BOULDER CO 80301
5555CNT,5555 CENTRAL AVENUE (5555CNT),0,1,40.0200602,-105.2213063,8,5555 CENTRAL AVE BOULDER CO 80301
721EMRY,GUARDIAN STORAGE LONGMONT (721EMRY),820,3,40.1494165,-105.1006141,8,721 S EMERY ST LONGMONT CO 80501
ABSA,ABSAROKA (ABSA),126,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
ADEN,ADEN HALL (ADEN),26941,1,40.0068619,-105.2654013,,2320 LIBBY DR BOULDER CO 80309
AERO,AEROSPACE ENGINEERING SCIENCES (AERO),185868,1,40.00999004154017,-105.24368584156038,,3775 DISCOVERY DRIVE BOULDER CO 80309
ALMG,ALUMNI CENTER GARAGE ANNEX (ALMG),1200,3,40.0099452,-105.2759409,,1202 UNIVERSITY AVE BOULDER CO 80309
ALUM,KOENIG ALUMNI CENTER (ALUM),9781,1,40.0099452,-105.2759409,,1202 UNIVERSITY AVE BOULDER CO 80309
ANDS,ANDREWS HALL (ANDS),61827,3,40.00311159504671,-105.26227891445161,,2510 KITTREDGE LOOP RD BOULDER CO 80309
ARCE,ADMINISTRATIVE AND RESEARCH CENTER- EAST CAMPUS (ARCE),186279,3,40.01352,-105.253565,,3100 MARINE ST BOULDER CO 80303
ARCEA,ADMINISTRATIVE AND RESEARCH CENTER MECHANICAL BUILDING (ARCEA),131,3,40.01352,-105.253565,,3100 MARINE ST BOULDER CO 80303
ARL,ASTROPHYSICAL RESEARCH LABORATORY (ARL),34435,1,40.0131267,-105.2484366,,1255 38TH ST BOULDER CO 80303
ARMR,ARMORY (ARMR),24976,1,40.0106029,-105.2741159,,1511 UNIVERSITY AVE BOULDER CO 80309
ARNT,ARNETT HALL (ARNT),61574,1,40.00340334729344,-105.26118993759155,,2590 KITTREDGE LOOP RD BOULDER CO 80309
ASPN,ASPEN (ASPN),506,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
ATCTA1,ATHENS COURT A1 (ATCTA1),7488,3,40.0120995,-105.269034,,1930 ATHENS ST BOULDER CO 80309
ATCTA2,ATHENS COURT A2 (ATCTA2),7488,1,40.0124441,-105.2696085,,1950 ATHENS ST BOULDER CO 80309
ATCTA3,ATHENS COURT A3 (ATCTA3),7488,1,40.0115598,-105.2699551,,1931 GRANDVIEW AVE BOULDER CO 80309
ATCTA4,ATHENS COURT A4 (ATCTA4),7488,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTB1,ATHENS COURT B1 (ATCTB1),8923,1,40.0122639,-105.2699687,,1910 ATHENS ST BOULDER CO 80309
ATCTB2,ATHENS COURT B2 (ATCTB2),8923,1,40.0122698,-105.2686688,,2010 ATHENS ST BOULDER CO 80309
ATCTB3,ATHENS COURT B3 (ATCTB3),8923,1,40.0122721,-105.2678404,,2050 ATHENS ST BOULDER CO 80309
ATCTC1,ATHENS COURT C1 (ATCTC1),9836,1,40.0121088,-105.2682574,,2030 ATHENS ST BOULDER CO 80309
ATCTC2,ATHENS COURT C2 (ATCTC2),10144,1,40.0124417,-105.2682627,,2031 GRANDVIEW AVE BOULDER CO 80309
ATCTM1,ATHENS COURT MAIL 1 (ATCTM1),97,3,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTM2,ATHENS COURT MAIL 2 (ATCTM2),97,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTS1,ATHENS COURT STORAGE 1 (ATCTS1),97,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTS2,ATHENS COURT STORAGE 2 (ATCTS2),97,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTS3,ATHENS COURT STORAGE 3 (ATCTS3),97,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATCTT1,ATHENS COURT TELECOM 1 (ATCTT1),97,1,40.0120695,-105.269304,,1951 GRANDVIEW AVE BOULDER CO 80309
ATHN,ATHENS NORTH COURT (ATHN),52183,1,40.0129103,-105.2708657,,1855 ATHENS ST BOULDER CO 80309
ATLS,ROSER ATLAS CENTER (ATLS),72739,1,40.0075543,-105.2699184,,1125 18TH ST BOULDER CO 80309
BATH,BATH HOUSE (BATH),656,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BCAPB,BEAR CREEK APT B (BCAPB),190886,1,39.9967173876871,-105.25019288063051,,3355 APACHE DR BOULDER CO 80309
BCAT,BOBCAT (BCAT),127,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BESC,BENSON EARTH SCIENCES BUILDING (BESC),89647,1,40.0079671,-105.265887,,2200 COLORADO AVE BOULDER CO 80309
BHRN,BIGHORN (BHRN),127,3,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
BIOT,JENNIE SMOLY CARUTHERS BIOTECHNOLOGY BUILDING (BIOT),416570,1,40.00826022267877,-105.2490395307541,,3415 COLORADO AVE BOULDER CO 80303
